"","Apis mellifera","Augochlora sp1 M_PL_031","Augochloropsis sp1 M_PL_031","Augochloropsis sp2 M_PL_031","Augochloropsis sp3 M_PL_031","Bombus atratus","Bombus pullatus","Bombus volucelloides","Brachygastra lecheguana","Calicopis sp1 M_PL_031","Campsomeris sp1 M_PL_031","Ceratina sp1 M_PL_031","Cerciris sp1 M_PL_031","Coereba flaveola ","Copestylum sp1 M_PL_031","Cyclocephala sp1 M_PL_031","Cyclocephala sp2 M_PL_031","Cylindromia sp1 M_PL_031","Dialictus sp1 M_PL_031","Dialictus sp2 M_PL_031","Eristalis sp1 M_PL_031","Euglossa sp1 M_PL_031","Eulaema meriana","Exomalopsis sp1 M_PL_031","Hylaeus sp1 M_PL_031","Melipona compresipes","Melipona scutellaris","Montezumia azurescens","Oxybelus sp1 M_PL_031","Pachodynerus nasidens","Panoquina bola","Pepsis sp1 M_PL_031","Pereirapsis sp1 M_PL_031","Polistes lanio","Polistes vibex","Politmus milleri","Polybia occidentalis","Polybia scrobalis","Psedagochloropsis sp1 M_PL_031","Pyrrhogige sp1 M_PL_031","Sarcodexia innota","Sphex ichneumoneus","Sphex sp1 M_PL_031","Sticia sp1 M_PL_031","Tachites sp1 M_PL_031","Vehilius inca","Volucella sp1 M_PL_031","Xylocopa sp1 M_PL_031","Zonotrichia capensis"
"Befaria glauca",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonnetia sessilis",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Borreria capitata",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brocchinia acuminata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
"Calea lucidivenia",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catasetum discolor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromolanea sp1 M_PL_031",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clusia grandiflora",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Clusia pusilla",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cybianthus quelchii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
